Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Day of the week
19/12/2017,384,18,-3.8,42,3.3,2000,-14.8,0,0,2,Winter,No Holiday,Yes,Tuesday
20/12/2017,329,18,-1.4,79,1.6,702,-4.5,0,0.1,2.2,Winter,No Holiday,Yes,Wednesday
21/12/2017,531,18,1.7,64,1.3,1140,-4.3,0,0,0.8,Winter,No Holiday,Yes,Thursday
22/12/2017,671,18,4.9,63,0.6,677,-1.5,0,0,0,Winter,Holiday,Yes,Friday
23/12/2017,340,18,6.6,73,0.4,229,2,0,0,0,Winter,No Holiday,Yes,Saturday
24/12/2017,128,18,1.9,82,4.3,699,-0.8,0.01,0.5,0,Winter,Holiday,Yes,Sunday
25/12/2017,237,18,-1.6,33,2,2000,-15.8,0,0,0,Winter,Holiday,Yes,Monday
26/12/2017,481,18,-4.7,23,3.4,2000,-22.7,0.01,0,0,Winter,No Holiday,Yes,Tuesday
27/12/2017,466,18,-5.2,32,2.2,2000,-19.3,0,0,0,Winter,No Holiday,Yes,Wednesday
28/12/2017,552,18,-0.6,62,1.6,1129,-6.9,0,0,0,Winter,No Holiday,Yes,Thursday
29/12/2017,574,18,3.6,62,1.4,389,-3,0.01,0,0,Winter,No Holiday,Yes,Friday
30/12/2017,45,18,3,84,1.7,137,0.5,0,0.3,0,Winter,No Holiday,Yes,Saturday
31/12/2017,215,18,0.7,31,2.3,2000,-14.5,0.01,0,0,Winter,Holiday,Yes,Sunday
01/01/2018,218,18,0.8,34,1.9,1887,-13.3,0.01,0,0,Winter,Holiday,Yes,Monday
02/01/2018,675,18,-0.8,24,2.3,2000,-18.9,0.01,0,0,Winter,No Holiday,Yes,Tuesday
03/01/2018,637,18,-3.1,39,2.1,2000,-15.1,0,0,0,Winter,No Holiday,Yes,Wednesday
04/01/2018,603,18,-2.6,38,1.4,1604,-14.9,0,0,0,Winter,No Holiday,Yes,Thursday
05/01/2018,635,18,-1.8,44,2.2,1709,-12.4,0.01,0,0,Winter,No Holiday,Yes,Friday
06/01/2018,271,18,-0.6,37,1.6,1797,-13.5,0.01,0,0,Winter,No Holiday,Yes,Saturday
07/01/2018,270,18,1.8,34,1.2,1518,-12.4,0,0,0,Winter,No Holiday,Yes,Sunday
08/01/2018,316,18,1.5,70,2.5,638,-3.3,0,0,0,Winter,No Holiday,Yes,Monday
09/01/2018,558,18,-3.8,58,1.7,1996,-10.8,0.01,0,0,Winter,No Holiday,Yes,Tuesday
10/01/2018,437,18,-7.8,32,4.5,2000,-21.6,0.02,0,0,Winter,No Holiday,Yes,Wednesday
11/01/2018,352,18,-10.4,43,2.3,1985,-20.6,0.02,0,0,Winter,No Holiday,Yes,Thursday
12/01/2018,405,18,-7.5,28,2,2000,-22.9,0.02,0,0,Winter,No Holiday,Yes,Friday
13/01/2018,223,18,-2.6,73,1,684,-6.7,0.01,0,0,Winter,No Holiday,Yes,Saturday
14/01/2018,250,18,4.1,53,1.3,1132,-4.6,0,0,0,Winter,No Holiday,Yes,Sunday
15/01/2018,555,18,5.2,44,1.3,647,-6,0,0,0,Winter,No Holiday,Yes,Monday
16/01/2018,592,18,4.9,59,1.4,427,-2.4,0,0,0,Winter,No Holiday,Yes,Tuesday
17/01/2018,501,18,5.2,62,2.9,503,-1.5,0.01,0,0,Winter,No Holiday,Yes,Wednesday
18/01/2018,506,18,2,39,2.1,1259,-10.5,0.01,0,0,Winter,No Holiday,Yes,Thursday
19/01/2018,702,18,2.9,45,1.6,1629,-7.8,0.04,0,0,Winter,No Holiday,Yes,Friday
20/01/2018,283,18,4.6,55,3.2,232,-3.6,0.03,0,0,Winter,No Holiday,Yes,Saturday
21/01/2018,295,18,2.5,24,2,2000,-16,0.02,0,0,Winter,No Holiday,Yes,Sunday
22/01/2018,170,18,1.1,96,3,187,0.5,0,3.3,1,Winter,No Holiday,Yes,Monday
23/01/2018,351,18,-11.5,43,2.4,2000,-21.6,0.05,0,0.9,Winter,No Holiday,Yes,Tuesday
24/01/2018,297,18,-13,29,3.4,2000,-27.3,0.05,0,0.7,Winter,No Holiday,Yes,Wednesday
25/01/2018,288,18,-11.8,33,4,2000,-24.8,0.04,0,0.5,Winter,No Holiday,Yes,Thursday
26/01/2018,305,18,-12.7,33,2.5,1835,-25.6,0.05,0,0.3,Winter,No Holiday,Yes,Friday
27/01/2018,162,18,-6.6,31,3,1988,-20.9,0.06,0,0,Winter,No Holiday,Yes,Saturday
28/01/2018,157,18,-4.9,35,3.7,2000,-18,0.04,0,0,Winter,No Holiday,Yes,Sunday
29/01/2018,438,18,-6.6,34,2.5,2000,-19.8,0.06,0,0,Winter,No Holiday,Yes,Monday
30/01/2018,100,18,-2.3,91,0.4,202,-3.5,0,1.4,2,Winter,No Holiday,Yes,Tuesday
31/01/2018,403,18,-1.8,35,2.1,2000,-15.2,0.05,0,1.6,Winter,No Holiday,Yes,Wednesday
01/02/2018,542,18,-1,28,1.9,2000,-17.2,0.08,0,0,Winter,No Holiday,Yes,Thursday
02/02/2018,592,18,0.5,37,3,1733,-12.5,0.06,0,0,Winter,No Holiday,Yes,Friday
03/02/2018,175,18,-6.6,36,4.4,2000,-19.2,0.15,0,0,Winter,No Holiday,Yes,Saturday
04/02/2018,154,18,-7,26,4.1,2000,-23.3,0.16,0,0,Winter,No Holiday,Yes,Sunday
05/02/2018,388,18,-7.6,29,3.5,2000,-22.6,0.16,0,0,Winter,No Holiday,Yes,Monday
06/02/2018,392,18,-7.6,36,3.3,2000,-20.1,0.11,0,0,Winter,No Holiday,Yes,Tuesday
07/02/2018,448,18,-4,27,2.5,2000,-20.2,0.16,0,0,Winter,No Holiday,Yes,Wednesday
08/02/2018,564,18,-0.5,26,1.7,1999,-17.7,0.15,0,0,Winter,No Holiday,Yes,Thursday
09/02/2018,659,18,4.1,40,2.1,1327,-8.3,0.1,0,0,Winter,No Holiday,Yes,Friday
10/02/2018,216,18,-2,15,5.6,2000,-25.2,0.13,0,0,Winter,No Holiday,Yes,Saturday
11/02/2018,150,18,-4.6,56,3.6,2000,-12,0.09,0,0,Winter,No Holiday,Yes,Sunday
12/02/2018,475,18,-4.4,46,3.5,2000,-14.3,0.23,0,0,Winter,No Holiday,Yes,Monday
13/02/2018,604,18,3.1,50,3.7,2000,-6.3,0.07,0,0,Winter,No Holiday,Yes,Tuesday
14/02/2018,559,18,5.1,34,2.3,1440,-9.5,0.09,0,0,Winter,No Holiday,Yes,Wednesday
15/02/2018,190,18,1.1,18,2.5,2000,-20.6,0.2,0,0,Winter,Holiday,Yes,Thursday
16/02/2018,165,18,1.4,56,3.2,1932,-6.4,0.22,0,0,Winter,Holiday,Yes,Friday
17/02/2018,223,18,-0.3,17,1.9,2000,-22.4,0.2,0,0,Winter,Holiday,Yes,Saturday
18/02/2018,310,18,2.8,25,3,2000,-15.3,0.22,0,0,Winter,No Holiday,Yes,Sunday
19/02/2018,819,18,4.7,43,2.4,938,-6.8,0.19,0,0,Winter,No Holiday,Yes,Monday
20/02/2018,764,18,3.2,20,2.9,2000,-17.6,0.16,0,0,Winter,No Holiday,Yes,Tuesday
21/02/2018,784,18,1.8,16,3.4,2000,-21.4,0.31,0,0,Winter,No Holiday,Yes,Wednesday
22/02/2018,730,18,3.9,56,4,1004,-4,0.18,0,0,Winter,No Holiday,Yes,Thursday
23/02/2018,669,18,7.5,70,5,374,2.3,0.08,0,0,Winter,No Holiday,Yes,Friday
24/02/2018,379,18,3.5,30,2.9,1726,-12.4,0.31,0,0,Winter,No Holiday,Yes,Saturday
25/02/2018,402,18,5.2,30,2.8,1877,-11,0.36,0,0,Winter,No Holiday,Yes,Sunday
26/02/2018,929,18,7.2,26,2.3,1398,-11,0.33,0,0,Winter,No Holiday,Yes,Monday
27/02/2018,897,18,6.6,62,0.8,522,-0.1,0.05,0,0,Winter,No Holiday,Yes,Tuesday
28/02/2018,11,18,3.6,90,2.1,845,2.1,0,9.5,0,Winter,No Holiday,Yes,Wednesday
01/03/2018,317,18,-0.8,40,4.7,1429,-12.7,0.43,0,0,Spring,Holiday,Yes,Thursday
02/03/2018,854,18,3.5,22,0.9,1961,-16.2,0.43,0,0,Spring,No Holiday,Yes,Friday
03/03/2018,920,18,13.9,26,1.9,1995,-5.3,0.41,0,0,Spring,No Holiday,Yes,Saturday
04/03/2018,436,18,11.5,81,1.5,1475,8.3,0.07,0,0,Spring,No Holiday,Yes,Sunday
05/03/2018,1155,18,8.1,47,1.7,2000,-2.5,0.34,0,0,Spring,No Holiday,Yes,Monday
06/03/2018,1246,18,8.7,28,3.2,2000,-8.8,0.49,0,0,Spring,No Holiday,Yes,Tuesday
07/03/2018,1365,18,9.6,42,2,2000,-2.7,0.14,0,0,Spring,No Holiday,Yes,Wednesday
08/03/2018,1091,18,5.9,68,3.4,543,0.4,0.38,0,0,Spring,No Holiday,Yes,Thursday
09/03/2018,1231,18,7,55,2,705,-1.4,0.35,0,0,Spring,No Holiday,Yes,Friday
10/03/2018,664,18,6.2,61,3.2,1411,-0.7,0.4,0,0,Spring,No Holiday,Yes,Saturday
11/03/2018,776,18,9.4,22,2.9,1995,-11.2,0.55,0,0,Spring,No Holiday,Yes,Sunday
12/03/2018,1425,18,12.2,43,2.8,463,0,0.41,0,0,Spring,No Holiday,Yes,Monday
13/03/2018,1749,18,15.7,68,3.3,1473,9.8,0.39,0,0,Spring,No Holiday,Yes,Tuesday
14/03/2018,2100,18,19.2,53,2.4,2000,9.3,0.58,0,0,Spring,No Holiday,Yes,Wednesday
15/03/2018,676,18,10.4,98,2.5,116,10,0.03,0,0,Spring,No Holiday,Yes,Thursday
16/03/2018,1641,18,10,33,1.2,2000,-5.5,0.68,0,0,Spring,No Holiday,Yes,Friday
17/03/2018,934,18,10.6,42,2.8,1307,-1.8,0.31,0,0,Spring,No Holiday,Yes,Saturday
18/03/2018,365,18,10.4,47,0.4,824,-0.4,0.14,0,0,Spring,No Holiday,Yes,Sunday
19/03/2018,1200,18,8.6,55,2.4,1958,0,0.09,0,0,Spring,No Holiday,Yes,Monday
20/03/2018,1111,18,4.1,43,3.5,2000,-7.3,0.21,0,0,Spring,No Holiday,Yes,Tuesday
21/03/2018,615,18,2,77,1.3,2000,-1.6,0.07,0,0,Spring,No Holiday,Yes,Wednesday
22/03/2018,1495,18,7.9,46,3.1,1057,-3,0.58,0,0,Spring,No Holiday,Yes,Thursday
23/03/2018,1611,18,9.7,36,3.6,948,-4.6,0.37,0,0,Spring,No Holiday,Yes,Friday
24/03/2018,736,18,9,76,3,288,4.9,0.45,0,0,Spring,No Holiday,Yes,Saturday
25/03/2018,768,18,14.4,44,2.7,596,2.2,0.6,0,0,Spring,No Holiday,Yes,Sunday
26/03/2018,1477,18,16,33,2.9,1138,-0.2,0.6,0,0,Spring,No Holiday,Yes,Monday
27/03/2018,1521,18,16.8,60,3.1,580,8.9,0.46,0,0,Spring,No Holiday,Yes,Tuesday
28/03/2018,1839,18,17,53,3.1,1855,7.3,0.35,0,0,Spring,No Holiday,Yes,Wednesday
29/03/2018,1776,18,19.1,47,2.4,942,7.5,0.57,0,0,Spring,No Holiday,Yes,Thursday
30/03/2018,1935,18,17.4,57,3.1,657,8.7,0.52,0,0,Spring,No Holiday,Yes,Friday
31/03/2018,1391,18,16.6,33,2.6,1867,0.2,0.48,0,0,Spring,No Holiday,Yes,Saturday
01/04/2018,1296,18,17.7,75,2.1,519,13.2,0.12,0,0,Spring,No Holiday,Yes,Sunday
02/04/2018,2401,18,20.7,54,4.1,1484,11,0.5,0,0,Spring,No Holiday,Yes,Monday
03/04/2018,2134,18,18.9,68,3.3,1326,12.8,0.12,0,0,Spring,No Holiday,Yes,Tuesday
04/04/2018,2402,18,16,47,2.1,2000,4.6,0.79,0,0,Spring,No Holiday,Yes,Wednesday
05/04/2018,75,18,7.6,96,2,660,6.9,0.04,0,0,Spring,No Holiday,Yes,Thursday
06/04/2018,1114,18,5.9,43,5.3,859,-5.7,0.62,0,0,Spring,No Holiday,Yes,Friday
07/04/2018,714,18,6.4,43,3.7,2000,-5.2,0.92,0,0,Spring,No Holiday,Yes,Saturday
08/04/2018,22,18,3,89,1.5,283,1.3,0.07,1.9,0,Spring,No Holiday,Yes,Sunday
09/04/2018,2401,18,14.8,24,1.3,1514,-5.6,0.69,0,0,Spring,No Holiday,Yes,Monday
10/04/2018,1805,18,19.7,52,7.2,2000,9.5,0.2,0,0,Spring,No Holiday,Yes,Tuesday
11/04/2018,0,18,15.2,21,2.9,2000,-7,0.94,0,0,Spring,No Holiday,No,Wednesday
12/04/2018,2359,18,17.9,16,3.7,2000,-8.3,0.92,0,0,Spring,No Holiday,Yes,Thursday
13/04/2018,2404,18,17.5,18,1.3,2000,-7.1,0.23,0,0,Spring,No Holiday,Yes,Friday
14/04/2018,706,18,9.6,79,1.8,2000,6.1,0.39,0,0,Spring,No Holiday,Yes,Saturday
15/04/2018,343,18,11.9,58,2.2,1645,3.8,0.61,0,0,Spring,No Holiday,Yes,Sunday
16/04/2018,2692,18,17,28,3.1,2000,-1.6,0.88,0,0,Spring,No Holiday,Yes,Monday
17/04/2018,1727,18,17.1,31,3.3,1501,-0.1,0.93,0,0,Spring,No Holiday,Yes,Tuesday
18/04/2018,1918,18,16.6,33,3.4,1182,0.2,0.86,0,0,Spring,No Holiday,Yes,Wednesday
19/04/2018,2198,18,19.1,31,3,958,1.5,0.7,0,0,Spring,No Holiday,Yes,Thursday
20/04/2018,2268,18,24.7,33,2.3,687,7.3,0.78,0,0,Spring,No Holiday,Yes,Friday
21/04/2018,1986,18,22.2,11,3,2000,-9.7,0.98,0,0,Spring,No Holiday,Yes,Saturday
22/04/2018,63,18,16.1,73,1.3,1298,11.2,0.11,0.5,0,Spring,No Holiday,Yes,Sunday
23/04/2018,39,18,9.4,96,1.9,600,8.7,0.07,1,0,Spring,No Holiday,Yes,Monday
24/04/2018,2318,18,14.1,43,1.6,2000,1.6,0.36,0,0,Spring,No Holiday,Yes,Tuesday
25/04/2018,2807,18,21.2,32,3.8,1927,3.8,0.94,0,0,Spring,No Holiday,Yes,Wednesday
26/04/2018,2574,18,17.4,45,3.1,1092,5.3,0.75,0,0,Spring,No Holiday,Yes,Thursday
27/04/2018,2577,18,20.3,47,2.5,705,8.6,0.77,0,0,Spring,No Holiday,Yes,Friday
28/04/2018,1882,18,18.9,30,2.6,1995,0.9,1.05,0,0,Spring,No Holiday,Yes,Saturday
29/04/2018,1950,18,20.1,28,3.2,1114,1,0.89,0,0,Spring,No Holiday,Yes,Sunday
30/04/2018,2558,18,23,54,2.9,679,13.1,0.81,0,0,Spring,No Holiday,Yes,Monday
01/05/2018,2082,18,21.6,67,2,584,15.2,0.24,0,0,Spring,Holiday,Yes,Tuesday
02/05/2018,518,18,13.6,89,2.3,638,11.8,0.09,0,0,Spring,No Holiday,Yes,Wednesday
03/05/2018,2310,18,13.4,49,2.4,1982,2.8,0.6,0,0,Spring,No Holiday,Yes,Thursday
04/05/2018,2661,18,17.1,35,3.4,1961,1.4,1.11,0,0,Spring,No Holiday,Yes,Friday
05/05/2018,1929,18,22.5,31,3.4,1953,4.5,0.79,0,0,Spring,No Holiday,Yes,Saturday
06/05/2018,1848,18,20.2,66,1,2000,13.6,1.1,0,0,Spring,No Holiday,Yes,Sunday
07/05/2018,2268,18,25.1,32,2.4,1899,7.2,1.1,0,0,Spring,No Holiday,Yes,Monday
08/05/2018,2142,18,20.7,40,1.4,2000,6.6,1.06,0,0,Spring,No Holiday,Yes,Tuesday
09/05/2018,3130,18,20.6,41,2.3,2000,6.8,1.1,0,0,Spring,No Holiday,Yes,Wednesday
10/05/2018,0,18,18,61,3.5,790,10.3,1.05,0,0,Spring,No Holiday,No,Thursday
11/05/2018,2701,18,17.9,37,3.1,1819,2.9,0.36,0,0,Spring,No Holiday,Yes,Friday
12/05/2018,22,18,15.4,97,1.9,340,14.9,0.03,2,0,Spring,No Holiday,Yes,Saturday
13/05/2018,2338,18,19,66,1.3,1111,12.4,0.95,0,0,Spring,No Holiday,Yes,Sunday
14/05/2018,2906,18,23.6,48,3.1,666,11.9,0.85,0,0,Spring,No Holiday,Yes,Monday
15/05/2018,2915,18,27.5,47,2.5,1113,15.1,0.43,0,0,Spring,No Holiday,Yes,Tuesday
16/05/2018,562,18,21.9,97,2.1,191,21.3,0.08,0,0,Spring,No Holiday,Yes,Wednesday
17/05/2018,431,18,22.6,97,1.1,304,22,0.07,1.5,0,Spring,No Holiday,Yes,Thursday
18/05/2018,2261,18,17.5,79,1.5,2000,13.8,0.57,0,0,Spring,No Holiday,Yes,Friday
19/05/2018,2439,18,24,34,1.7,2000,7.1,1.22,0,0,Spring,No Holiday,Yes,Saturday
20/05/2018,2403,18,22.2,22,1.8,2000,-0.5,1.25,0,0,Spring,No Holiday,Yes,Sunday
21/05/2018,3069,18,21.6,48,2.5,1884,10.1,0.61,0,0,Spring,No Holiday,Yes,Monday
22/05/2018,30,18,17.9,93,1.2,258,16.7,0.13,2,0,Spring,Holiday,Yes,Tuesday
23/05/2018,3123,18,21.7,40,3.5,1987,7.4,1.18,0,0,Spring,No Holiday,Yes,Wednesday
24/05/2018,2825,18,22.6,39,2.8,1655,7.9,1.1,0,0,Spring,No Holiday,Yes,Thursday
25/05/2018,2916,18,23.3,32,2.6,1772,5.6,1.05,0,0,Spring,No Holiday,Yes,Friday
26/05/2018,2020,18,27,33,2.2,822,9.3,1.07,0,0,Spring,No Holiday,Yes,Saturday
27/05/2018,2267,18,23,36,2.8,1904,7.1,0.85,0,0,Spring,No Holiday,Yes,Sunday
28/05/2018,3245,18,26,39,2.7,1950,10.9,1.07,0,0,Spring,No Holiday,Yes,Monday
29/05/2018,2154,18,23.1,68,2.9,1506,16.8,0.42,0,0,Spring,No Holiday,Yes,Tuesday
30/05/2018,3251,18,23.6,42,2.1,2000,9.9,1.23,0,0,Spring,No Holiday,Yes,Wednesday
31/05/2018,3119,18,26.4,42,3.1,1995,12.4,0.79,0,0,Spring,No Holiday,Yes,Thursday
01/06/2018,3088,18,28.5,36,3,1981,11.9,1.21,0,0,Summer,No Holiday,Yes,Friday
02/06/2018,2246,18,27.4,29,3.6,2000,7.7,1.19,0,0,Summer,No Holiday,Yes,Saturday
03/06/2018,2349,18,29.3,25,2.4,1973,7.2,1.23,0,0,Summer,No Holiday,Yes,Sunday
04/06/2018,3380,18,24.4,48,1.9,1998,12.6,0.56,0,0,Summer,No Holiday,Yes,Monday
05/06/2018,3227,18,27.1,40,2.8,1811,12.3,1,0,0,Summer,No Holiday,Yes,Tuesday
06/06/2018,2162,18,26.6,52,2.5,1368,15.9,1.09,0,0,Summer,Holiday,Yes,Wednesday
07/06/2018,3221,18,25.6,57,2.7,1217,16.4,0.96,0,0,Summer,No Holiday,Yes,Thursday
08/06/2018,3309,18,26.2,54,2.2,1183,16.1,0.88,0,0,Summer,No Holiday,Yes,Friday
09/06/2018,1934,18,27.3,42,1.2,2000,13.2,0.19,0,0,Summer,No Holiday,Yes,Saturday
10/06/2018,2367,18,24.1,53,1.3,2000,13.9,0.48,0,0,Summer,No Holiday,Yes,Sunday
11/06/2018,1491,18,19.8,80,3.9,2000,16.2,0.12,0,0,Summer,No Holiday,Yes,Monday
12/06/2018,3404,18,24.9,53,3.6,2000,14.6,1.28,0,0,Summer,No Holiday,Yes,Tuesday
13/06/2018,2479,18,23.4,63,3.6,1245,15.9,0.5,0,0,Summer,No Holiday,Yes,Wednesday
14/06/2018,2962,18,24,61,1.5,1935,16,0.26,0,0,Summer,No Holiday,Yes,Thursday
15/06/2018,2891,18,25.9,44,1.5,2000,12.7,1.36,0,0,Summer,No Holiday,Yes,Friday
16/06/2018,2451,18,28,46,2.3,1833,15.2,1.23,0,0,Summer,No Holiday,Yes,Saturday
17/06/2018,2474,18,25,59,3.4,1324,16.4,0.54,0,0,Summer,No Holiday,Yes,Sunday
18/06/2018,746,18,29.2,35,2.7,1900,12.1,1.27,0,0,Summer,No Holiday,Yes,Monday
19/06/2018,3556,18,24.1,57,2.9,1301,15,0.56,0,0,Summer,No Holiday,Yes,Tuesday
20/06/2018,3384,18,27,55,3.1,1246,17.1,1.26,0,0,Summer,No Holiday,Yes,Wednesday
21/06/2018,3418,18,27.8,43,3,1933,14,1.35,0,0,Summer,No Holiday,Yes,Thursday
22/06/2018,3365,18,29.3,27,3.4,1977,8.3,1.24,0,0,Summer,No Holiday,Yes,Friday
23/06/2018,2256,18,26.3,55,3.2,1119,16.5,0.64,0,0,Summer,No Holiday,Yes,Saturday
24/06/2018,2094,18,29.8,35,3.3,1805,12.6,1.15,0,0,Summer,No Holiday,Yes,Sunday
25/06/2018,3238,18,30.7,43,1.6,931,16.6,0.74,0,0,Summer,No Holiday,Yes,Monday
26/06/2018,156,18,24.1,95,4.4,261,23.2,0.03,1,0,Summer,No Holiday,Yes,Tuesday
27/06/2018,3172,18,25,69,1.5,1125,18.9,0.52,0,0,Summer,No Holiday,Yes,Wednesday
28/06/2018,596,18,20.6,97,0.7,222,20.1,0.14,21.5,0,Summer,No Holiday,Yes,Thursday
29/06/2018,3113,18,28.1,60,1.9,959,19.5,1.05,0,0,Summer,No Holiday,Yes,Friday
30/06/2018,306,18,27.5,79,0.5,1237,23.5,0.65,0.5,0,Summer,No Holiday,Yes,Saturday
01/07/2018,17,18,22.2,96,1.2,673,21.5,0.09,3.5,0,Summer,No Holiday,Yes,Sunday
02/07/2018,832,18,24.9,87,1.9,1742,22.5,0.25,0,0,Summer,No Holiday,Yes,Monday
03/07/2018,2965,18,32.2,57,1.8,1880,22.5,1.53,0,0,Summer,No Holiday,Yes,Tuesday
04/07/2018,3080,18,30,60,2.5,1933,21.3,0.99,0,0,Summer,No Holiday,Yes,Wednesday
05/07/2018,2594,18,26.8,71,1.2,2000,21,0.21,0,0,Summer,No Holiday,Yes,Thursday
06/07/2018,3196,18,25.9,52,2.1,2000,15.2,0.57,0,0,Summer,No Holiday,Yes,Friday
07/07/2018,2238,18,27.8,48,1.2,2000,15.7,0.91,0,0,Summer,No Holiday,Yes,Saturday
08/07/2018,2351,18,26.7,48,1,2000,14.7,0.53,0,0,Summer,No Holiday,Yes,Sunday
09/07/2018,140,18,20.3,93,1.3,1832,19.1,0.22,0.5,0,Summer,No Holiday,Yes,Monday
10/07/2018,1665,18,26.2,82,0.4,1408,22.8,0.21,0,0,Summer,No Holiday,Yes,Tuesday
11/07/2018,2931,18,28.4,75,2.4,1564,23.5,0.52,0,0,Summer,No Holiday,Yes,Wednesday
12/07/2018,3016,18,27.5,77,2.1,1897,23,0.46,0,0,Summer,No Holiday,Yes,Thursday
13/07/2018,2884,18,30.8,60,2.5,1793,22.1,1.43,0,0,Summer,No Holiday,Yes,Friday
14/07/2018,1624,18,31.1,55,2.2,1897,20.9,1.05,0,0,Summer,No Holiday,Yes,Saturday
15/07/2018,1466,18,32.2,55,2.4,1769,22,1.28,0,0,Summer,No Holiday,Yes,Sunday
16/07/2018,2636,18,32.3,47,3,1961,19.5,1.26,0,0,Summer,No Holiday,Yes,Monday
17/07/2018,2770,18,31.3,55,2.5,1550,21.1,1.2,0,0,Summer,No Holiday,Yes,Tuesday
18/07/2018,2692,18,32,50,2.6,1374,20.2,1.25,0,0,Summer,No Holiday,Yes,Wednesday
19/07/2018,2640,18,33,51,2.4,1566,21.5,1.23,0,0,Summer,No Holiday,Yes,Thursday
20/07/2018,2419,18,33.9,42,2,1969,19.1,1.25,0,0,Summer,No Holiday,Yes,Friday
21/07/2018,1202,18,35,42,2.9,1953,20.1,1.26,0,0,Summer,No Holiday,Yes,Saturday
22/07/2018,1212,18,36.3,35,3,1860,18.3,0.89,0,0,Summer,No Holiday,Yes,Sunday
23/07/2018,2405,18,33.9,53,3.2,1886,22.9,0.94,0,0,Summer,No Holiday,Yes,Monday
24/07/2018,2300,18,34.9,53,2.2,1296,23.8,0.86,0,0,Summer,No Holiday,Yes,Tuesday
25/07/2018,2416,18,32.2,58,2.5,1553,22.8,0.44,0,0,Summer,No Holiday,Yes,Wednesday
26/07/2018,2367,18,33.2,59,1.8,1069,24,0.99,0,0,Summer,No Holiday,Yes,Thursday
27/07/2018,2183,18,33.7,62,3.2,1082,25.3,0.87,0,0,Summer,No Holiday,Yes,Friday
28/07/2018,843,18,29,81,0.8,989,25.4,0.22,0,0,Summer,No Holiday,Yes,Saturday
29/07/2018,1141,18,35.8,35,1.3,2000,17.9,1.21,0,0,Summer,No Holiday,Yes,Sunday
30/07/2018,2347,18,36.5,38,0.9,2000,19.8,1.17,0,0,Summer,No Holiday,Yes,Monday
31/07/2018,2092,18,36.2,45,2,2000,22.3,0.65,0,0,Summer,No Holiday,Yes,Tuesday
01/08/2018,1929,18,37.8,47,3.8,1931,24.5,1.09,0,0,Summer,No Holiday,Yes,Wednesday
02/08/2018,1881,18,36.7,47,2.5,1803,23.5,0.99,0,0,Summer,No Holiday,Yes,Thursday
03/08/2018,1920,18,34.4,53,3.3,1650,23.4,0.8,0,0,Summer,No Holiday,Yes,Friday
04/08/2018,1044,18,33.2,52,3.7,1986,22,1.14,0,0,Summer,No Holiday,Yes,Saturday
05/08/2018,1247,18,31.8,63,4,1849,23.8,0.81,0,0,Summer,No Holiday,Yes,Sunday
06/08/2018,1956,18,32.8,63,1.3,1799,24.8,0.31,0,0,Summer,No Holiday,Yes,Monday
07/08/2018,2274,18,34.6,50,3.1,1821,22.6,1,0,0,Summer,No Holiday,Yes,Tuesday
